Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country
1,Apocalypse Now,Francis Coppola,"Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall, Rpobert Duvall",1979,2,http://www.imdb.com/title/tt0078788/,http://www.guardian.co.uk/film/movie/36320/apocalypse.now,USA
2,North by Northwest,Alfred Hitchcock," Cary Grant, Eva Marie Saint, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G Carroll, Martin Landau",1959,,http://www.imdb.com/title/tt0053125/,http://www.guardian.co.uk/film/movie/35095/north-by-northwest,USA
3,Once Upon a Time in the West,Sergio Leone,"Charles Bronson, Claudia Cardinale, Henry Fonda, Jason Robards",1968,,http://www.imdb.com/title/tt0064116/,http://www.guardian.co.uk/film/movie/36274/once.upon.a.time.in.the.west,Italy
4,The Wild Bunch,Sam Pekinpah,"Ernest Borgnine, Robert Ryan, William Holden",1969,,http://www.imdb.com/title/tt0065214/,http://www.guardian.co.uk/film/movie/36285/wild.bunch,USA
5,Deliverance,John Boorman ,"Burt Reynolds, Jon Voight, Ned Beatty",1972,,http://www.imdb.com/title/tt0068473/,http://www.guardian.co.uk/film/movie/76560/deliverance,USA
6,City of God,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino da Hora, Matheus Nachtergaele, Phelipe Haagensen",2002,,http://www.imdb.com/title/tt0317248/,http://www.guardian.co.uk/film/movie/94028/city.of.god,Brazil
7,Paths of Glory,Stanley Kubrick,"Adolphe Menjou, Kirk Douglas, Ralph Meeker",1957,,http://www.imdb.com/title/tt0050825/,http://www.guardian.co.uk/film/movie/76931/paths.of.glory,USA
7,The Wages of Fear,Henri-Georges Clouzot,"Charles Vanel, Folco Lulli, Yves Montand",1953,,http://www.imdb.com/title/tt0046268/,http://www.guardian.co.uk/film/movie/78592/wages-of-fear,France
9,Crouching Tiger Hidden Dragon,Ang Lee,"Chang Chen, Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Ziyi Zhang",2000,4,http://www.imdb.com/title/tt0190332/,http://www.guardian.co.uk/film/movie/86383/crouching.tiger.hidden.dragon,Taiwan
10, The Thin Red Line,Terrence Malik,"Adrien Brody, Ben Chaplin, Nick Nolte, Sean Penn",1998,,http://www.imdb.com/title/tt0120863/,http://www.guardian.co.uk/film/movie/74795/thin.red.line,USA
11,Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",1981,4,http://www.imdb.com/title/tt0082971/,http://www.guardian.co.uk/film/movie/36332/raiders-of-the-lost-ark,USA
12, Bullitt,Peter Yates,"Jacqueline Bisset, Robert Vaughn, Steve McQueen",1968,1,http://www.imdb.com/title/tt0062765/,http://www.guardian.co.uk/film/movie/76966/bullitt,USA
12,Ran,Akira Kurosawa,"Akira Terao, Daisuke Ryu, Mieko Harada, Tatsuya Nakadai",1985,1,http://www.imdb.com/title/tt0089881/,http://www.guardian.co.uk/film/movie/76633/ran,Japan
14,Die Hard,John McTeirnan,"Alan Rickman, Bonnie Bedelia, Bruce Willis",1988,,http://www.imdb.com/title/tt0095016/,http://www.guardian.co.uk/film/movie/80851/die-hard,Japan
15,The Adventures of Robin Hood,"Michael Curtiz, William Keighley","Basil Rathbone, Claude Rains, Errol Flynn, Olivia De Havilland, Olivia de Havilland, William Keighley",1938,3,http://www.imdb.com/title/tt0029843/,http://www.guardian.co.uk/film/movie/34500/adventures-of-robin-hood,USA
16, The Searchers,John Ford,"Jeffrey Hunter, John Wayne, Natalie Wood, Vera Miles, Ward Bond",1956,,http://www.imdb.com/title/tt0049730/,http://www.guardian.co.uk/film/movie/115097/searchers,USA
17,Goldfinger,Guy Hamilton," Bernard Lee, Gert Frobe, Harold Sakata, Honor Blackman, Lois Maxwell, Sean Connery, Shirley Eaton, Tania Mallet",1964,1,http://www.imdb.com/title/tt0058150/,http://www.guardian.co.uk/film/movie/79341/goldfinger,UK
18,Full Metal Jacket,Stanley Kubrick,"Adam Baldwin, Lee Ermey, Matthew Modine, Vincent D'Onofrio",1987,,http://www.imdb.com/title/tt0093058/,http://www.guardian.co.uk/film/movie/76429/full-metal-jacket,USA
18,Last of the Mohicans,Michael Mann,"Daniel Day-Lewis, Jodhi May, Madeleine Stowe",1992,1,http://www.imdb.com/title/tt0104691/,http://www.guardian.co.uk/film/movie/79330/last-of-the-mohicans,
20,Deer Hunter,Michael Cimino,"Christopher Walken, Meryl Streep, Robert De Niro",1978,5,http://www.imdb.com/title/tt0077416/,http://www.guardian.co.uk/film/movie/36318/deer-hunter,USA
21,Gladiator,Ridley Scott,"Connie Nielsen, Joaquin Phoenix, Oliver Reed, Russell Crowe",2000,5,http://www.imdb.com/title/tt0172495/,http://www.guardian.co.uk/film/movie/83550/gladiator,USA
22,Rome Open City,Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero",1945,,http://www.imdb.com/title/tt0038890/,http://www.guardian.co.uk/film/movie/78859/rome-open-city,Italy
23,Butch Cassidy,George Roy Hill,"Katharine Ross, Paul Newman, Robert Redford",1969,4,http://www.imdb.com/title/tt0064115/,http://www.guardian.co.uk/film/movie/36276/butch-cassidy-and-the-sundance-kid,USA
23,Where Eagles Dare,Brian G. Hutton,"Clint Eastwood, Mary Ure, Richard Burton",1968,,http://www.imdb.com/title/tt0065207/,http://www.guardian.co.uk/film/movie/83199/where-eagles-dare,USA
25,The Incredibles,Brad Bird,"Craig T Nelson, Holly Hunter, Jason Lee, Samuel L Jackson",2004,2,http://www.imdb.com/title/tt0317705/,http://www.guardian.co.uk/film/movie/102423/incredibles,USA
1,Annie Hall,Woody Allen,"Carol Kane, Diane Keaton, Paul Simon, Tony Roberts, Woody Allen",1977,4,http://www.imdb.com/title/tt0075686/,http://www.guardian.co.uk/film/movie/36314/annie.hall,USA
2,Borat,Larry Charles,"Ken Davitian, Pamela Anderson , Sacha Baron Cohen",2006,,http://www.imdb.com/title/tt0443453/,http://www.guardian.co.uk/film/movie/114557/borat,USA
3,Some Like it Hot,Billy Wilder,"George Raft, Jack Lemmon, Joe E Brown, Marilyn Monroe, Tony Curtis",1959,1,http://www.imdb.com/title/tt0053291/,http://www.guardian.co.uk/film/movie/36223/some.like.it.hot,USA
4,Team America,Trey Parker,"Kristen Miller, Matt Stone, Trey Parker",2004,,http://www.imdb.com/title/tt0372588/,http://www.guardian.co.uk/film/movie/103000/team.america,USA
5,Dr Strangelove,Stanley Kubrick,"George C Scott, Peter Sellers, Sterling Hayden",1964,,http://www.imdb.com/title/tt0057012/,http://www.guardian.co.uk/film/movie/76390/dr-strangelove,UK
5,The Ladykillers,Alexander Mackendrick,"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers",1955,,http://www.imdb.com/title/tt0048281/,http://www.guardian.co.uk/film/movie/36206/ladykillers,UK
7,Duck Soup,Leo McCarey,"Chico Marx, Groucho Marx, Harpo Marx, Margaret Dumont, The Marx Brothers, Zeppo Marx",1933,,http://www.imdb.com/title/tt0023969/,http://www.guardian.co.uk/film/movie/36133/duck.soup,USA
7,Rushmore,Wes Anderson," Bill Murray, Brian Cox, Jason Schwartzman, Olivia Williams",1998,,http://www.imdb.com/title/tt0128445/,http://www.guardian.co.uk/film/movie/79577/rushmore,USA
9,Kind Hearts & Coronets,Robert Hamer,"Alec Guinness, Dennis Price, Joan Greenwood",1949,,http://www.imdb.com/title/tt0041546/,http://www.guardian.co.uk/film/movie/36180/kind-hearts-and-coronets,UK
10,Monty Python’s Life of Brian,Terry Jones,"Eric Idle, Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Terry Jones",1979,,http://www.imdb.com/title/tt0079470/,http://www.guardian.co.uk/film/movie/78168/monty-python-s-life-of-brian,UK
11,Airplane!,"Jim Abrahams, David Zucker and Jerry Zucker","Julie Hagerty, Leslie Nielsen, Robert Hays",1980,,http://www.imdb.com/title/tt0080339/,http://www.guardian.co.uk/film/movie/83228,USA
12,Election,Alexander Payne,"Chris Klein, Matthew Broderick, Reese Witherspoon",1999,,http://www.imdb.com/title/tt0126886/,http://www.guardian.co.uk/film/movie/79657/election,USA
12,His Girl Friday,Howard Hawkes,"Cary Grant, Gene Lockhart, Ralph Bellamy, Rosalind Russell",1940,,http://www.imdb.com/title/tt0032599/,http://www.guardian.co.uk/film/movie/76369/his-girl-friday,USA
12,The Big Lebowski,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",1998,,http://www.imdb.com/title/tt0118715/,http://www.guardian.co.uk/film/movie/77069/big.lebowski,USA
15,This Is Spinal Tap,Rob Reiner," Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner",1984,,http://www.imdb.com/title/tt0088258/,http://www.guardian.co.uk/film/movie/81384/this.is.spinal.tap,USA
16,Bringing Up Baby,Howard Hawkes,"Cary Grant, Katharine Hepburn, Katherine Hepburn",1938,,http://www.imdb.com/title/tt0029947/,http://www.guardian.co.uk/film/movie/36143/bringing-up-baby,USA
17,There’s Something About Mary,Peter & Bob Farrelly,"Ben Stiller, Cameron Diaz, Lee Evans, Matt Dillon",1998,,http://www.imdb.com/title/tt0129387/,http://www.guardian.co.uk/film/movie/34359/there.s.something.about.mary,USA
